EmployeeID,recorddate_key,birthdate_key,orighiredate_key,terminationdate_key,age,length_of_service,city_name,department_name,job_title,store_name,gender_short,gender_full,termreason_desc,termtype_desc,STATUS_YEAR,STATUS,BUSINESS_UNIT
1321,12/31/2006 0:00,01-02-1959,8/28/1989,01-01-1900,47,17,Vancouver,Executive,VP Human Resources,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1321,12/31/2007 0:00,01-02-1959,8/28/1989,01-01-1900,48,18,Vancouver,Executive,VP Human Resources,35,M,Male,Not Applicable,Not Applicable,2007,ACTIVE,HEADOFFICE
1321,12/31/2008 0:00,01-02-1959,8/28/1989,01-01-1900,49,19,Vancouver,Executive,VP Human Resources,35,M,Male,Not Applicable,Not Applicable,2008,ACTIVE,HEADOFFICE
1321,12/31/2009 0:00,01-02-1959,8/28/1989,01-01-1900,50,20,Vancouver,Executive,VP Human Resources,35,M,Male,Not Applicable,Not Applicable,2009,ACTIVE,HEADOFFICE
1321,12/31/2010 0:00,01-02-1959,8/28/1989,01-01-1900,51,21,Vancouver,Executive,VP Human Resources,35,M,Male,Not Applicable,Not Applicable,2010,ACTIVE,HEADOFFICE
1321,12/31/2011 0:00,01-02-1959,8/28/1989,01-01-1900,52,22,Vancouver,Executive,VP Human Resources,35,M,Male,Not Applicable,Not Applicable,2011,ACTIVE,HEADOFFICE
1321,12/31/2012 0:00,01-02-1959,8/28/1989,01-01-1900,53,23,Vancouver,Executive,VP Human Resources,35,M,Male,Not Applicable,Not Applicable,2012,ACTIVE,HEADOFFICE
1321,12/31/2013 0:00,01-02-1959,8/28/1989,01-01-1900,54,24,Vancouver,Executive,VP Human Resources,35,M,Male,Not Applicable,Not Applicable,2013,ACTIVE,HEADOFFICE
1321,12/31/2014 0:00,01-02-1959,8/28/1989,01-01-1900,55,25,Vancouver,Executive,VP Human Resources,35,M,Male,Not Applicable,Not Applicable,2014,ACTIVE,HEADOFFICE
1321,12/31/2015 0:00,01-02-1959,8/28/1989,01-01-1900,56,26,Vancouver,Executive,VP Human Resources,35,M,Male,Not Applicable,Not Applicable,2015,ACTIVE,HEADOFFICE
1322,12/31/2006 0:00,01-09-1958,8/31/1989,01-01-1900,48,17,Vancouver,Executive,VP Finance,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1322,12/31/2007 0:00,01-09-1958,8/31/1989,01-01-1900,49,18,Vancouver,Executive,VP Finance,35,M,Male,Not Applicable,Not Applicable,2007,ACTIVE,HEADOFFICE
1322,12/31/2008 0:00,01-09-1958,8/31/1989,01-01-1900,50,19,Vancouver,Executive,VP Finance,35,M,Male,Not Applicable,Not Applicable,2008,ACTIVE,HEADOFFICE
1322,12/31/2009 0:00,01-09-1958,8/31/1989,01-01-1900,51,20,Vancouver,Executive,VP Finance,35,M,Male,Not Applicable,Not Applicable,2009,ACTIVE,HEADOFFICE
1322,12/31/2010 0:00,01-09-1958,8/31/1989,01-01-1900,52,21,Vancouver,Executive,VP Finance,35,M,Male,Not Applicable,Not Applicable,2010,ACTIVE,HEADOFFICE
1322,12/31/2011 0:00,01-09-1958,8/31/1989,01-01-1900,53,22,Vancouver,Executive,VP Finance,35,M,Male,Not Applicable,Not Applicable,2011,ACTIVE,HEADOFFICE
1322,12/31/2012 0:00,01-09-1958,8/31/1989,01-01-1900,54,23,Vancouver,Executive,VP Finance,35,M,Male,Not Applicable,Not Applicable,2012,ACTIVE,HEADOFFICE
1322,12/31/2013 0:00,01-09-1958,8/31/1989,01-01-1900,55,24,Vancouver,Executive,VP Finance,35,M,Male,Not Applicable,Not Applicable,2013,ACTIVE,HEADOFFICE
1322,12/31/2014 0:00,01-09-1958,8/31/1989,01-01-1900,56,25,Vancouver,Executive,VP Finance,35,M,Male,Not Applicable,Not Applicable,2014,ACTIVE,HEADOFFICE
